user_id,course_id,rating
user_1,830568,4.2
user_1,98066,2.8
user_1,537282,3.1
user_1,501140,4.7
user_1,1249146,3.0
user_1,765056,3.2
user_1,960786,2.8
user_1,1021594,4.2
user_2,217540,4.7
user_2,379196,3.7
user_2,648118,4.3
user_2,1022108,5.0
user_2,1048188,2.6
user_3,850426,5.0
user_3,757900,3.5
user_3,1110756,3.5
user_3,1225564,3.5
user_3,328842,3.3
user_4,994362,3.3
user_4,719698,2.5
user_4,1239022,4.9
user_4,525034,4.0
user_4,1073793,4.5
user_4,978576,4.6
user_4,1113702,2.7
user_5,592338,4.0
user_5,200854,3.9
user_5,983444,4.2
user_5,847808,4.6
user_5,909836,4.3
user_6,1156778,3.4
user_6,196164,4.7
user_6,192724,4.2
user_6,805336,4.2
user_6,158830,4.7
user_7,1031698,4.6
user_7,245822,3.9
user_7,530246,4.1
user_7,437398,3.3
user_7,1000574,3.4
user_7,452092,2.7
user_7,537888,4.6
user_7,805630,4.0
user_7,316750,2.7
user_7,1145430,4.5
user_8,973932,3.4
user_8,63712,4.6
user_8,373716,2.8
user_8,974704,3.2
user_8,493014,4.2
user_8,727510,5.0
user_8,186096,4.5
user_8,739390,4.4
user_9,810550,3.7
user_9,903140,3.2
user_9,1012040,4.7
user_9,494800,3.0
user_9,519442,3.6
user_9,1274210,4.0
user_9,367460,3.8
user_9,575476,4.6
user_10,543090,3.2
user_10,837950,4.7
user_10,16646,3.3
user_10,1193538,3.9
user_10,822670,3.1
user_10,1149656,4.5
user_10,270844,4.4
user_10,701662,3.2
user_10,446936,4.2
user_11,866696,4.3
user_11,542950,3.0
user_11,288110,4.6
user_11,803028,3.0
user_11,640164,4.2
user_11,1117796,3.8
user_11,94432,2.9
user_11,808808,2.6
user_11,153230,4.8
user_12,674608,2.7
user_12,1164720,4.7
user_12,1009166,2.7
user_12,978272,3.1
user_12,560218,2.7
user_12,32649,2.8
user_12,688244,3.8
user_12,711688,4.2
user_13,993146,4.8
user_13,1198654,3.7
user_13,900434,3.0
user_13,1256136,2.6
user_13,1062048,2.6
user_13,602702,4.1
user_13,476622,3.3
user_13,640496,3.7
user_13,663702,2.8
user_14,923616,3.9
user_14,403764,2.7
user_14,966522,4.5
user_14,488220,2.7
user_14,635716,3.6
user_15,1126016,3.4
user_15,788720,4.0
user_15,309370,2.6
user_15,699618,4.7
user_15,598846,4.0
user_15,994754,3.2
user_16,1117834,4.6
user_16,980408,4.5
user_16,407658,2.9
user_16,967380,4.2
user_16,900794,4.4
user_17,331970,3.3
user_17,153210,3.5
user_17,364034,5.0
user_17,671552,4.4
user_17,280842,4.7
user_17,145812,3.4
user_17,520468,3.1
user_17,1217408,4.4
user_17,669536,4.5
user_18,337072,3.5
user_18,546848,3.8
